Photo Name,Latitude,Longitude,Altitude,Yaw,Pitch,Roll,Horizontal Accuracy,Vertical Accuracy
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122113_0084.JPG,25.357442748,46.450762863,695.444,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122115_0085.JPG,25.357434841,46.4506288,695.432,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122118_0086.JPG,25.357426557,46.450492655,695.418,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122121_0087.JPG,25.357418652,46.450365633,695.453,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122122_0088.JPG,25.357413222,46.450352321,695.435,-103.1,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122123_0089.JPG,25.357400704,46.4503606,695.431,-176.3,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122126_0090.JPG,25.357322265,46.450370099,695.467,-176.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122129_0091.JPG,25.357210276,46.450372277,695.443,-176.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122132_0092.JPG,25.357125751,46.45037536,695.479,-176.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122133_0093.JPG,25.357136854,46.450390682,695.422,89.2,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122136_0094.JPG,25.357148382,46.450476507,695.452,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122139_0095.JPG,25.357156644,46.450607057,695.502,-91.3,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122142_0096.JPG,25.357164866,46.450749954,695.433,-91.3,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122144_0097.JPG,25.357172451,46.450883979,695.461,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122147_0098.JPG,25.357180883,46.45102014,695.486,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122150_0099.JPG,25.357188872,46.451155478,695.465,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122152_0100.JPG,25.357197523,46.451291178,695.455,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122155_0101.JPG,25.357205809,46.451429001,695.46,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122158_0102.JPG,25.357213799,46.45156305,695.454,-91.3,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122201_0103.JPG,25.357221891,46.451698503,695.451,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122203_0104.JPG,25.357229985,46.451835212,695.441,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122206_0105.JPG,25.357238152,46.451968511,695.423,88.6,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122209_0106.JPG,25.357246777,46.452106795,695.44,-91.3,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122212_0107.JPG,25.357254672,46.452240504,695.484,88.6,-89.9,0,0.03,0.06
